Main category,Sub1,Sub2,Sub3,Sub4,Sub5
Мэдээлэл,Киоск,Гүйлгээ хийх заавар,,,
Мэдээлэл,Киоск,Ерөнхий мэдээлэл,,,
Мэдээлэл,Киоск,Тест,,,
Мэдээлэл,Киоск,Тодорхойлолт авах заавар,,,
Мэдээлэл,Киоск,Хуулга авах заавар,Депозит дансны хуулга авах заавар,,
Мэдээлэл,Киоск,Хуулга авах заавар,Зээлийн дансны хуулга авах заавар,,
Мэдээлэл,Киоск,Цахим үйлчилгээнд бүртгүүлэх заавар,,,
Мэдээлэл,Киоск,Шимтгэл хураамж,,,
Мэдээлэл,Киоск,Картын үйлчилгээ,,,
Мэдээлэл,Киоск,Хаяг байршил,,,
Мэдээлэл,Киоск,Цагийн хуваарь,,,
Мэдээлэл,Facebook хакер,Телефон банкаар шилжүүлсэн,,,
Мэдээлэл,Facebook хакер,Интернет банкаар шилжүүлсэн WEB,,,
Мэдээлэл,Facebook хакер,Интернет банкаар шилжүүлсэн APP,,,
Мэдээлэл,Facebook хакер,Мобайл банкаар шилжүүлсэн,,,
Мэдээлэл,Facebook хакер,Картаар шилжүүлсэн,,,
Мэдээлэл,Банктай холбоотой,FB постын талаар,,,
Мэдээлэл,Банктай холбоотой,FB Mass notificationchatbot,,,
Мэдээлэл,Банктай холбоотой,Банкнаас зарласан аян,Зээл,,
Мэдээлэл,Банктай холбоотой,Банкнаас зарласан аян,Бусад,,
Мэдээлэл,Банктай холбоотой,Банкнаас зарласан аян,Кредит карт,,
Мэдээлэл,Банктай холбоотой,Банкнаас зарласан аян,Карт,Union Pay карт аян,
Мэдээлэл,Банктай холбоотой,Банкнаас зарласан аян,Карт,Бусад,
Мэдээлэл,Банктай холбоотой,Телесэйлстэй холбоотой,,,
Мэдээлэл,Банктай холбоотой,Банкнаас зарласан оюутны тэтгэлэг,,,
Мэдээлэл,Банктай холбоотой,Банктай холбогдолгүй мэдээлэл,,,
Мэдээлэл,Банктай холбоотой,Вебсайтны талаар,,,
Мэдээлэл,Банктай холбоотой,Лавлахын талаар мэдээлэл,Лавлах дугаар суваг,,
Мэдээлэл,Банктай холбоотой,Лавлахын талаар мэдээлэл,Цагийн хуваарь,,
Мэдээлэл,Банктай холбоотой,Лавлахын талаар мэдээлэл,Цагийн хуваарь,Priority & Social,
